,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
0,What is 343 * 706?,242958.0,242158,False,80.0,3,242958,242958,The answer is 242958.,The answer is 242958.,The answer is 242958.,The product of 343 and 706 is 242158.,242658,242958,242958,"242,958",242958.0,242958.0,242958.0,242958.0,242958.0,242158.0,242658.0,242958.0,242958.0,242958.0
1,What is 657 * 233?,152961.0,153081,False,60.0,3,The product of 657 and 233 is 152961.,"The answer is 152,961.",The product of 657 and 233 is 152781.,"152,361","The result of 657 multiplied by 233 is 152,961.",The product of 657 and 233 is 152781.,"The answer is 152,961.","The product of 657 and 233 is 153,081.",The product of 657 and 233 is 152961.,The answer is 152961.,152961.0,152961.0,152781.0,152361.0,152961.0,152781.0,152961.0,153081.0,152961.0,152961.0
2,What is 478 * 718?,342404.0,343204,False,30.0,3,"342,284",The product of 478 and 718 is 343804.,The product of 478 and 718 is 343204.,"343,004",The answer is 343404.,"342,104","342,404","342,404","342,404","The product of 478 and 718 is:

343,004",342284.0,343804.0,343204.0,343004.0,343404.0,342104.0,342404.0,342404.0,342404.0,343004.0
3,What is 585 * 740?,432900.0,432900,True,60.0,3,"432,900","This multiplication equals 432,900.","431,100","431,100.",The answer to 585 * 740 is 432900.,The product of 585 and 740 is 432900.,"432,900","431,100","431,100","432,900",432900.0,432900.0,431100.0,431100.0,432900.0,432900.0,432900.0,431100.0,431100.0,432900.0
4,What is 694 * 167?,115798.0,115898,False,70.0,3,The answer is 115798.,115898,The product of 694 and 167 is 115798.,The answer is 115798.,115798,The answer is 116098.,115798,115798,The answer is 115898.,The product of 694 and 167 is 115798.,115798.0,115898.0,115798.0,115798.0,115798.0,116098.0,115798.0,115798.0,115898.0,115798.0
5,What is 720 * 113?,81360.0,81360,True,90.0,3,"81,360","81,360","81,360","81,360","81,360","81,360","81,360","81,360",81576,"81,360",81360.0,81360.0,81360.0,81360.0,81360.0,81360.0,81360.0,81360.0,81576.0,81360.0
6,What is 957 * 580?,554460.0,555060,False,50.0,3,554660,"555,060",555660,"554,460","555,060",It equals 555660.,554460,554460.,"554,460",554460,554660.0,555060.0,555660.0,554460.0,555060.0,555660.0,554460.0,554460.0,554460.0,554460.0
7,What is 365 * 664?,242760.0,242360,False,70.0,3,"242,760","242,760","242,760","242,760","The result of 365 * 664 is 242,660.","The answer is 242,760.","242,760","242,660","242,860","242,760.",242760.0,242760.0,242760.0,242760.0,242660.0,242760.0,242760.0,242660.0,242860.0,242760.0
8,What is 339 * 296?,100344.0,100344,True,30.0,3,100284,"100,044","The product of 339 and 296 is 100,344.","The answer is 100,644.","100,644","The product of 339 and 296 is 100,344.","The answer is 100,044.","The answer is 100,344.",The answer is 100444.,"The product of 339 and 296 is:

(3 × 100 + 3 × 10 + 9)",100284.0,100044.0,100344.0,100644.0,100644.0,100344.0,100044.0,100344.0,100444.0,9.0
9,What is 834 * 581?,484454.0,484554,False,30.0,3,484454,485554,"The answer is 484,554.",The result of 834 * 581 is 484554.,"484,654",484054,484454,"484,054",The answer is 484454.,484054,484454.0,485554.0,484554.0,484554.0,484654.0,484054.0,484454.0,484054.0,484454.0,484054.0
10,What is 653 * 956?,625468.0,624268,False,40.0,3,625068,"624,068","625,468",624468,"625,468","625,868","624,668",625468,"625,468",624068,625068.0,624068.0,625468.0,624468.0,625468.0,625868.0,624668.0,625468.0,625468.0,624068.0
11,What is 662 * 587?,388994.0,388594,False,80.0,3,The answer is 388594.,388994.,The answer is 388994.,The answer is 388994.,The answer is 388994.,The product of 662 and 587 is 388994.,The result of 662 * 587 is 388994.,The product of 662 and 587 is 388994.,The result of 662 * 587 is 388394.,The answer is 388994.,388594.0,388994.0,388994.0,388994.0,388994.0,388994.0,388994.0,388994.0,388394.0,388994.0
12,What is 506 * 754?,381524.0,381524,True,70.0,3,The product of 506 and 754 is 381524.,The product of 506 and 754 is 381524.,"The answer is 381,524.","380,024","The answer is 381,524.","The answer is 381,524.",The product of 506 and 754 is 381524.,"380,024","The answer to 506 * 754 is 381,524.","381,024",381524.0,381524.0,381524.0,380024.0,381524.0,381524.0,381524.0,380024.0,381524.0,381024.0
