,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
0,What is 1 * 5?,5.0,5,True,100.0,1,1 * 5 is equal to 5.,1 * 5 = 5.,1 * 5 = 5,1 * 5 = 5,1 * 5 is equal to 5.,1 * 5 is equal to 5.,1 * 5 is equal to 5.,1 * 5 = 5,1 * 5 equals 5.,1 * 5 = 5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,What is 21 * 62?,1302.0,1302,True,100.0,2,"The answer is 1,302.",The answer is 1302.,"The answer is 1,302.","1,302","The answer is 1,302.","1,302","The answer is 1,302.","The product of 21 and 62 is 1,302.","1,302","1,302.",1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0
2,What is 372 * 210?,78120.0,78120,True,100.0,3,"78,120.",The product of 372 and 210 is 78120.,"The answer is 78,120.","78,120","The product of 372 and 210 is 78,120.","78,120","78,120","78,120","78,120.","78,120",78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0
3,What is 1625 * 7211?,11737675.0,11717875,False,10.0,4,11737675,It is 11729475.,"The product of 1625 and 7211 is 11,713,375.",11721075,11730575,The answer is 11725375.,"11,717,375",11725675,"The answer is 11,709,375.",11727375,11737675.0,11729475.0,11713375.0,11721075.0,11730575.0,11725375.0,11717375.0,11725675.0,11709375.0,11727375.0
4,What is 80281 * 83704?,6737257424.0,6719840824,False,10.0,5,"6,737,257,424","The product of 80281 and 83704 is 6,725,782,624.","6,734,620,624","67,209,1184","6,743,143,024","6,739,605,024","6,720,186,824","6,730,905,424",The result of 80281 * 83704 is 6726369624.,"67,303,4224",6737257424.0,6725782624.0,6734620624.0,672091184.0,6743143024.0,6739605024.0,6720186824.0,6730905424.0,6726369624.0,673034224.0
5,What is 6 * 6?,36.0,36,True,90.0,1,The answer is 36.,36.,The answer is 36.,"As an AI language model, I can not choose a specific choice like a human, but yes,",The result of 6 * 6 is 36.,The answer to 6 x 6 is 36.,36.,6 * 6 = 36,6 * 6 = 36,The result of 6 x 6 is 36.,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0
6,What is 16 * 30?,480.0,480,True,100.0,2,16 * 30 is 480.,16 * 30 = 480,16 * 30 = 480,16 * 30 equals 480.,480,16 * 30 = 480,480,480,16 * 30 = 480,480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
7,What is 238 * 445?,105710.0,105910,False,50.0,3,"The product of 238 and 445 is 105,710.","The answer is 105,710.","105,410",The answer is 105710.,"105,710",The answer is 105710.,"The product of 238 and 445 is 105,910.",The answer is 105910.,"105,910","106,010.",105710.0,105710.0,105410.0,105710.0,105710.0,105710.0,105910.0,105910.0,105910.0,106010.0
8,What is 6468 * 5016?,32468688.0,32443488,False,10.0,4,"The product of 6468 and 5016 is 32,468,688.","32,478,288","The product of 6468 and 5016 is 32,470,688.","The product of 6468 and 5016 is 32,479,488.","32,475,888","The product of 6468 and 5016 is 32,493,888.","The product of 6468 and 5016 is 32,463,888.","The product of 6468 and 5016 is 32,458,688.","The answer is 32,446,688.","The product of 6468 and 5016 is 32,476,688.",32468688.0,32478288.0,32470688.0,32479488.0,32475888.0,32493888.0,32463888.0,32458688.0,32446688.0,32476688.0
9,What is 31466 * 10218?,321557988.0,321519588,False,10.0,5,321557988,The product of 31466 and 10218 is 321914988.,"The answer is 322,059,588.",The product of 31466 and 10218 is 321958788.,The product of 31466 and 10218 is 321980788.,The answer is 322140588.,"The product of 31466 and 10218 is 321,922,988.",The product of 31466 and 10218 is 321964788.,The product of 31466 and 10218 is 321850188.,The product of 31466 and 10218 is 321814788.,321557988.0,321914988.0,322059588.0,321958788.0,321980788.0,322140588.0,321922988.0,321964788.0,321850188.0,321814788.0
