,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
0,What is 1 * 5?,5.0,5,True,100.0,1,1 * 5 is equal to 5.,1 * 5 = 5.,1 * 5 = 5,1 * 5 = 5,1 * 5 is equal to 5.,1 * 5 is equal to 5.,1 * 5 is equal to 5.,1 * 5 = 5,1 * 5 equals 5.,1 * 5 = 5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,What is 21 * 62?,302.0,1302,False,90.0,2,"The answer is 1,302.",The answer is 1302.,"The answer is 1,302.","1,302","The answer is 1,302.","1,302","The answer is 1,302.","The product of 21 and 62 is 1,302.","1,302","1,302.",302.0,1302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0
2,What is 372 * 210?,120.0,78120,False,90.0,3,"78,120.",The product of 372 and 210 is 78120.,"The answer is 78,120.","78,120","The product of 372 and 210 is 78,120.","78,120","78,120","78,120","78,120.","78,120",120.0,78120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
3,What is 1625 * 7211?,375.0,11717875,False,30.0,4,11737675,It is 11729475.,"The product of 1625 and 7211 is 11,713,375.",11721075,11730575,The answer is 11725375.,"11,717,375",11725675,"The answer is 11,709,375.",11727375,11737675.0,11729475.0,375.0,11721075.0,11730575.0,11725375.0,375.0,11725675.0,375.0,11727375.0
4,What is 80281 * 83704?,424.0,6719840824,False,20.0,5,"6,737,257,424","The product of 80281 and 83704 is 6,725,782,624.","6,734,620,624","67,209,1184","6,743,143,024","6,739,605,024","6,720,186,824","6,730,905,424",The result of 80281 * 83704 is 6726369624.,"67,303,4224",424.0,624.0,624.0,1184.0,24.0,24.0,824.0,424.0,6726369624.0,4224.0
5,What is 6 * 6?,36.0,36,True,90.0,1,The answer is 36.,36.,The answer is 36.,"As an AI language model, I can not choose a specific choice like a human, but yes,",The result of 6 * 6 is 36.,The answer to 6 x 6 is 36.,36.,6 * 6 = 36,6 * 6 = 36,The result of 6 x 6 is 36.,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0
6,What is 16 * 30?,480.0,480,True,100.0,2,16 * 30 is 480.,16 * 30 = 480,16 * 30 = 480,16 * 30 equals 480.,480,16 * 30 = 480,480,480,16 * 30 = 480,480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
7,What is 238 * 445?,710.0,105910,False,30.0,3,"The product of 238 and 445 is 105,710.","The answer is 105,710.","105,410",The answer is 105710.,"105,710",The answer is 105710.,"The product of 238 and 445 is 105,910.",The answer is 105910.,"105,910","106,010.",710.0,710.0,410.0,105710.0,710.0,105710.0,910.0,105910.0,910.0,10.0
8,What is 6468 * 5016?,688.0,32443488,False,50.0,4,"The product of 6468 and 5016 is 32,468,688.","32,478,288","The product of 6468 and 5016 is 32,470,688.","The product of 6468 and 5016 is 32,479,488.","32,475,888","The product of 6468 and 5016 is 32,493,888.","The product of 6468 and 5016 is 32,463,888.","The product of 6468 and 5016 is 32,458,688.","The answer is 32,446,688.","The product of 6468 and 5016 is 32,476,688.",688.0,288.0,688.0,488.0,888.0,888.0,888.0,688.0,688.0,688.0
9,What is 31466 * 10218?,321557988.0,321519588,False,10.0,5,321557988,The product of 31466 and 10218 is 321914988.,"The answer is 322,059,588.",The product of 31466 and 10218 is 321958788.,The product of 31466 and 10218 is 321980788.,The answer is 322140588.,"The product of 31466 and 10218 is 321,922,988.",The product of 31466 and 10218 is 321964788.,The product of 31466 and 10218 is 321850188.,The product of 31466 and 10218 is 321814788.,321557988.0,321914988.0,588.0,321958788.0,321980788.0,322140588.0,988.0,321964788.0,321850188.0,321814788.0
10,What is 7 * 2?,14.0,14,True,100.0,1,The answer is 14.,The answer is 14.,14,14,The answer is 14.,14.,The answer is 14.,The answer is 14.,14,The answer is 14.,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
11,What is 86 * 58?,988.0,4988,False,80.0,2,The answer is 4988.,The product of 86 and 58 is 4988.,"The answer is 4,988.","4,988","The answer is 4,988.","4,988","The answer is 4,988.","4,988","4,988","The answer is 4,988.",4988.0,4988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
12,What is 171 * 106?,126.0,18126,False,80.0,3,18126,"The product of 171 and 106 is 18,126.","18,126","18,126","18,126","18,126","18,126.","18,126",18126,"18,126",18126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,18126.0,126.0
13,What is 6168 * 8345?,760.0,51471960,False,20.0,4,"The answer is 51,534,760.","51,496,760","The product of 6168 and 8345 is 51,543,360.",51540680,51602840,51503560,"The answer is 51,548,360.",51545560,"51,505,560",51456560,760.0,760.0,360.0,51540680.0,51602840.0,51503560.0,360.0,51545560.0,560.0,51456560.0
14,What is 23374 * 15752?,248.0,368187248,False,30.0,5,"368,031,248","The product of 23374 and 15752 is 368,359,648.",The multiplication of 23374 and 15752 is 368035648.,"The answer is 367,676,048.","The product of 23374 and 15752 is 368,013,248.","The answer is 368,196,448.","368,086,848","The product of 23374 and 15752 is 368,139,248.",The product of 23374 and 15752 is 367801248.,The product of 23374 and 15752 is 368026048.,248.0,648.0,368035648.0,48.0,248.0,448.0,848.0,248.0,367801248.0,368026048.0
15,What is 2 * 3?,6.0,6,True,100.0,1,The answer is 6.,2 * 3 = 6,2 * 3 = 6,2 * 3 equals 6.,2 * 3 = 6,2 * 3 = 6.,2 * 3 = 6.,The product of 2 and 3 is 6.,2 multiplied by 3 equals 6.,2 * 3 = 6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
