,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
0,What is 3 * 2?,6.0,6,True,90.0,1,6,3 * 2 = 6,3 * 2 is equal to 6.,3 * 2 = 6,3 * 2 is 6.,The answer is 6.,3 * 2 is 6.,Six.,6,3 * 2 is equal to 6.,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0
1,What is 42 * 25?,1050.0,1050,True,100.0,2,The answer is 1050.,"1,050","1,050","1,050.",The answer is 1050.,"1,050","1,050",The product of 42 and 25 is 1050.,"1,050",The answer is 1050.,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
2,What is 607 * 879?,534393.0,533553,False,40.0,3,"534,993","534,393","534,393","534,393","533,493","534,093","534,393","534,993","534,093","534,093",534993.0,534393.0,534393.0,534393.0,533493.0,534093.0,534393.0,534993.0,534093.0,534093.0
3,What is 8364 * 8737?,73130968.0,73076268,False,10.0,4,"The product of 8364 and 8737 is 73,130,968.","73,129,408",73116968,"The answer is 73,058,808.","The result of 8364 * 8737 is 73,102,268.",Antwoord: 73105408,"73,021,568","73,136,208",The result of 8364 * 8737 is 73169068.,The answer is 73116268.,73130968.0,73129408.0,73116968.0,73058808.0,73102268.0,73105408.0,73021568.0,73136208.0,73169068.0,73116268.0
4,What is 95405 * 59756?,571059980.0,5701021180,False,10.0,5,"The product of 95405 and 59756 is 57,105,9980.","The answer is 57,170,2280.","The product of 95405 and 59756 is 57,147,8680.","57,162,9980","57,157,8456","57,118,2880",5715851280,"57,115,6180","57,163,4980","The product of 95405 and 59756 is 57,136,2980.",571059980.0,571702280.0,571478680.0,571629980.0,571578456.0,571182880.0,5715851280.0,571156180.0,571634980.0,571362980.0
5,What is 4 * 2?,8.0,8,True,100.0,1,4 * 2 is equal to 8.,8,8,8.,8,The answer is 8.,The answer is 8.,8.,The product of 4 and 2 is 8.,8.,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
6,What is 72 * 13?,936.0,936,True,100.0,2,936,936.,The result of 72 * 13 is 936.,936,936,936,936,936,72 * 13 = 936,936,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0
7,What is 955 * 499?,477245.0,476545,False,30.0,3,476845,477845,476545,477245,477245,The product of 955 and 499 is 476945.,477745,477445,"The answer is 476,645.",477245,476845.0,477845.0,476545.0,477245.0,477245.0,476945.0,477745.0,477445.0,476645.0,477245.0
8,What is 8090 * 1034?,8329460.0,8365060,False,10.0,4,"The answer is 8,329,460.","The result of 8090 * 1034 is 8,356,660.","The answer is 8,336,260.","The answer is 8,338,260.","The answer is 8,341,060.","The answer is 8,313,260.","The product of 8090 and 1034 is 8,368,060.","83,335,060","The answer is 8,340,060.","The answer is 8,316,060.",8329460.0,8356660.0,8336260.0,8338260.0,8341060.0,8313260.0,8368060.0,83335060.0,8340060.0,8316060.0
9,What is 68377 * 44908?,3073315156.0,3070674316,False,10.0,5,3073315156,3073067036,The product of 68377 and 44908 is 3070022196.,3071986332,3070320596,3072877396,3070820332,3072343796,The answer is 3071118196.,The answer is 3073327196.,3073315156.0,3073067036.0,3070022196.0,3071986332.0,3070320596.0,3072877396.0,3070820332.0,3072343796.0,3071118196.0,3073327196.0
10,What is 4 * 2?,8.0,8,True,100.0,1,4 * 2 = 8.,8.,The answer is 8.,8.,4 * 2 = 8,4 * 2 equals 8.,8,8.,The product of 4 and 2 is 8.,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
11,What is 50 * 13?,650.0,650,True,100.0,2,650,650,650.,650.,650.,650,50 * 13 = 650,650,650,650,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
12,What is 122 * 126?,15372.0,15372,True,100.0,3,"15,372","15,372","15,372","The product of 122 and 126 is 15,372.","15,372","The product of 122 and 126 is 15,372.","15,372","15,372","15,372","15,372",15372.0,15372.0,15372.0,15372.0,15372.0,15372.0,15372.0,15372.0,15372.0,15372.0
13,What is 9870 * 1150?,11350500.0,11350500,True,30.0,4,The result of 9870 * 1150 is 11350500.,The answer is 11350500.,"11,336,500","The answer is 11,331,500.","11,320,500","11,356,500","11,306,500",11350500,"11,335,500","The answer is 11,326,500.",11350500.0,11350500.0,11336500.0,11331500.0,11320500.0,11356500.0,11306500.0,11350500.0,11335500.0,11326500.0
14,What is 59965 * 99978?,5995827470.0,5995180770,False,10.0,5,"5,995,827,470",5994526110,"59965 * 99978 = 5,994,610,470","The product of 59965 and 99978 is 5,995,978,870.","5,996,081,870",5995949310,"5,995,890,970","59965 * 99978 = 5,995,069,470","5,995,839,870",The answer is 5995197030.,5995827470.0,5994526110.0,5994610470.0,5995978870.0,5996081870.0,5995949310.0,5995890970.0,5995069470.0,5995839870.0,5995197030.0
15,What is 4 * 7?,28.0,28,True,100.0,1,The answer is 28.,The answer is 28.,28.,28.,28,28,The answer is 28.,28.,28.,4 * 7 = 28.,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
16,What is 13 * 77?,1001.0,1001,True,100.0,2,13 * 77 = 1001,13 * 77 = 1001,13 * 77 is equal to 1001.,13 * 77 = 1001,13 * 77 = 1001,"13 * 77 = 1,001",13 * 77 = 1001,13 * 77 = 1001,"13 * 77 = 1,001.","13 * 77 = 1,001",1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
17,What is 327 * 882?,288174.0,288414,False,60.0,3,288174,The result of 327 * 882 is 288054.,288174,"288,534",288174,288174,"288,474",288174,"The multiplication of 327 and 882 is 288,414.",288174,288174.0,288054.0,288174.0,288534.0,288174.0,288174.0,288474.0,288174.0,288414.0,288174.0
18,What is 8174 * 9123?,74688102.0,74571402,False,10.0,4,"74,688,102","74,668,102","74,725,502","74,476,902",The answer is 74643702.,"74,636,302","74,637,702","74,733,702","74,660,502","74,634,102",74688102.0,74668102.0,74725502.0,74476902.0,74643702.0,74636302.0,74637702.0,74733702.0,74660502.0,74634102.0
19,What is 82464 * 40550?,3343317600.0,3343915200,False,10.0,5,"3,343,317,600","3,343,976,400","The product of 82464 and 40550 is 3,344,458,400.","The product of 82464 and 40550 is 3,345,149,600.","3,345,849,600","3,343,034,400","3,343,142,400","The result of 82464 multiplied by 40550 is 3,344,361,600.","The product of 82464 and 40550 is 3,345,124,800.","3,344,849,600",3343317600.0,3343976400.0,3344458400.0,3345149600.0,3345849600.0,3343034400.0,3343142400.0,3344361600.0,3345124800.0,3344849600.0
20,What is 6 * 4?,24.0,24,True,100.0,1,6 * 4 equals 24.,6 * 4 is 24.,6 * 4 = 24,6 * 4 is 24.,6 * 4 is 24.,6 * 4 = 24,6 * 4 = 24,6 * 4 = 24.,6 * 4 is equal to 24.,6 * 4 is 24.,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
